Sourcerecord id,"Source Title (Medline-sourced journals are indicated in Green)
Titles indicated in bold red do not meet the Scopus quality criteria anymore and therefore Scopus discontinued the forward capturing",Print-ISSN,E-ISSN,2017 CiteScore,"2017
SJR","2017
SNIP"
12737,"Aging, Neuropsychology, and Cognition",13825585,,1.78,0.93,0.915
78732,Aging: Immunology and Infectious Disease,8928762,,,,
12000154490,Agora,15161498,18094414,0.07,0.132,0.153
19900192333,Agora - Estudos Classicos em Debate,8745498,,,,
21100205933,Agrarforschung Schweiz,16637852,,0.09,0.181,0.231
53958,Agrekon,3031853,20780400,0.39,0.172,0.273
17616,Agri Dergisi,13000012,,0.43,0.225,0.238
21100797915,Agri Gene,23522151,,0.35,0.13,0.182
14499,Agribiological Research: Zeitschrift fuer Agrarbiologie -Agrikulturchemie -Oekologie,9380337,,,,
18700156722,Agribusiness,7424477,15206297,1.27,0.487,0.897
16669,Agricell Report,0738145X,,,,
14972,Agricultura Tecnica,3652807,7176333,,,
4000151615,Agriculturae Conspectus Scientificus,13317768,13317776,0.28,0.159,0.381
53581,Agricultural Administration,0309586X,,,,
92919,Agricultural Administration & Extension,2697475,,,,
32966,Agricultural and Biological Chemistry,21369,,,,
21100817122,Agricultural and Food Economics,,21937532,1.31,0.435,1.1
96395,Agricultural and Food Science,14596067,,0.95,0.344,0.566
14996,Agricultural and Food Science in Finland,12390992,14573806,,,
19105,Agricultural and Forest Entomology,14619555,14619563,1.67,0.81,0.891
12067,Agricultural and Forest Meteorology,1681923,,4.67,1.818,1.794
71598,Agricultural and Resource Economics Review,10682805,23722614,1.06,0.414,0.713
21100197336,Agricultural Commodities,18395619,,0.08,0.123,0.028
73771,Agricultural Economics,1695150,,2.26,1.456,1.36
21100778828,Agricultural Economics (Czech Republic),0139570X,18059295,0.93,0.431,0.732
39658,Agricultural Economics Research,21423,,,,
21000195312,Agricultural Economics Review,11092580,,0.36,0.205,0.457
35684,Agricultural engineering,21458,,,,
21100199343,Agricultural Engineering International: CIGR Journal,16821130,,0.4,0.236,0.392
69005,Agricultural Finance Review,21466,20416326,0.76,0.406,0.641
15014,Agricultural History,21482,,,0.111,0.274
15015,Agricultural History Review,21490,,0.45,0.162,0.682
110317,Agricultural Meteorology,21571,,,,
21100469366,Agricultural Research,2249720X,22497218,0.85,0.276,0.659
21100851994,Agricultural Research in the Arid Areas,10007601,,,,
78376,Agricultural Science in Finland,0789600X,,,,
4700152254,Agricultural Sciences in China,16712927,,,,
15061,Agricultural Systems,0308521X,18732267,3.55,1.156,1.601
37110,Agricultural Wastes,1414607,,,,
35824,Agricultural Water Management,3783774,,3.49,1.272,1.814
21100391600,Agriculture,5513677,13384376,0.58,0.194,0.279
21100781511,Agriculture (Switzerland),,20770472,1.93,0.33,1.133
38650,Agriculture and Environment,3041131,,,,
21100782678,Agriculture and Food Security,,20487010,1.78,0.575,1.143
15081,Agriculture and Human Values,0889048X,15728366,2.74,1.173,1.61
21100777184,Agriculture and Natural Resources,,2452316X,0.42,0.155,0.469
69474,Agriculture et Developpement,12499951,,,,
15110,"Agriculture, Ecosystems and Environment",1678809,,4.32,1.747,1.636
21100204121,Agris On-line Papers in Economics and Informatics,18041930,,0.59,0.357,0.63
19400157227,AgriScientia,3276244,,0.62,0.187,0.365
21100242817,Agrivita,1260537,,0.35,0.163,0.501
71472,Agro Food Industry Hi-Tech,17226996,,0.29,0.159,0.174
10300153373,Agroalimentaria,13160354,,0.1,0.111,0.216
53724,Agrochemicals Japan,9195505,,,,
15588,Agrochimica,21857,,0.73,0.258,0.309
145503,Agrociencia,14053195,,0.42,0.2,0.52
21100229246,Agroecology and Sustainable Food Systems,21683565,21683573,1.22,0.486,0.745
35739,Agro-Ecosystems,3043746,,,,
15611,Agroforestry Systems,1674366,15729680,1.43,0.663,0.922
9500154115,Agrokemia es Talajtan,21873,15882713,0.31,0.202,0.25
21100224444,Agronomia Colombiana,1209965,,0.41,0.175,0.374
94266,Agronomie,2495627,12979643,,,
21100447811,Agronomy,,20734395,2.38,0.695,1.115
145746,Agronomy for Sustainable Development,17740746,17730155,5.67,1.864,2.527
15639,Agronomy Journal,21962,14350645,2.08,0.938,1.265
21100201050,Agronomy Research,1406894X,,0.94,0.377,0.781
38084,AGSO Journal of Australian Geology and Geophysics,13201271,14400952,,,
30708,AGSO Research Newsletter,1039091X,,,,
19700182279,Agypten und Levante,10155104,,0.53,0.233,0.703
86634,AHA hospital technology series,7354681,,,,
66224,Ahapit : ukrais'kyi istoryko-medychnyi zhurnal = Agapit : the Ukrainian historical and medical journal,,,,,
145033,AHIP Coverage,15518442,,,,
36130,AHME Journal,907782,,,,
70618,AHP journal / Association for Healthcare Philanthropy,1551840X,,,,
21100244868,AHURI Final Report,18347223,,,0.196,0.316
21100244227,AHURI Positioning Paper,18349250,,,0.107,0
23616,AI and Society,9515666,14355655,0.79,0.227,0.603
34275,AI Applications,10518266,,,,
61214,AI Applications in Natural Resource Management,8966664,,,,
23617,AI Communications,9217126,,0.76,0.242,0.524
23629,AI Magazine,7384602,,1.86,0.428,1.603
29964,AIAA Journal,11452,1533385X,2.42,0.763,1.452
7200153166,AIAA Student Journal,11460,,,,
21100346235,AIB Studi,22809112,22396152,0.39,0.224,0.948
19700182411,AIBR Revista de Antropologia Iberoamericana,16959752,15789705,0.36,0.178,1.236
16275,AICHE Journal,11541,15475905,3.31,1.015,1.331
27073,Aide Soignante,11663413,,0,0.1,0
21309,AIDS,2699370,,3.73,2.919,1.466
99661,AIDS action,9530096,,,,
21313,AIDS alert,8870292,,,,
25278,AIDS analysis Africa,10168974,,,,
20153,AIDS and Behavior,10907165,15733254,2.95,1.792,1.183
21316,AIDS and Public Policy Journal,8873852,,,,
21321,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,9540121,13600451,2.12,1.189,0.912
97624,AIDS clinical care,10431543,,,,
101633,AIDS clinical review,10452877,,,,
19545,AIDS Education and Prevention,8999546,,1.91,0.971,0.801
90078,"AIDS health promotion exchange / World Health Organization, Global Programme on AIDS, Health Promotion Unit",10137785,,,,
36937,AIDS Patient Care,8935068,,,,
21764,AIDS Patient Care and STDs,10872914,,3.4,2.375,1.286
12558,AIDS policy & law,8871493,,0,0.1,
21765,AIDS Reader,10530894,,,0.101,0
40369,AIDS Research,7376006,,,,
21771,AIDS Research and Human Retroviruses,8892229,,1.67,1.066,0.655
4700153004,AIDS Research and Therapy,17426405,,2.26,1.08,1.024
21100228106,AIDS Research and Treatment,20901240,20901259,1.63,0.758,1.024
21773,AIDS Reviews,11396121,,1.95,1.118,0.861
21778,AIDS treatment news,10524207,,,,
21779,AIDS weekly,10691456,,,,
20154,AIDS weekly plus,,,,,
21528,"AIDS, Supplement",13502840,,,,
70180,AIDS/STD health promotion exchange,13842692,,,,
75948,Aidscaptions,,,,,
31082,AIDS-Forschung : AIFO = Acquired immune deficiency syndrome research,1793098,,,,
53502,"AIDSlink : Eastern, Central & Southern Africa",8563969,,,,
21100216996,AIEL Series in Labour Economics,1863916X,,,0.135,0.827
34224,AIHA journal : a journal for the science of occupational and environmental health and safety,15428117,,,,
9500153977,AIHAJ : a journal for the science of occupational and environmental health and safety,15298663,,,,
37698,AIIE Transactions (American Institute of Industrial Engineers),5695554,,,,
19700201506,AIJ Journal of Technology and Design,13419463,,0.03,0.134,0.147
5800208237,AILA Review,14610213,,0.76,0.227,0.906
21100842838,AIMS Agriculture and Food,,24712086,0.77,0.229,0.192
21100811140,AIMS Biophysics,,23779098,1.07,0.583,0.36
21100836837,AIMS Energy,23338326,23338334,,,
4700152880,AIMS Journal,2655004,,0.01,0.1,0.006
21100841715,AIMS Materials Science,23720484,23720468,0.82,0.266,0.396
21100825161,AIMS Neuroscience,,23737972,0.79,0.343,0.249
19700200705,Ain Shams Engineering Journal,20904479,,3.13,0.589,1.844
19900193962,AIP Advances,21583226,,1.48,0.472,0.619
87395,AIPE facilities,10547541,,,,
11000153734,AIPE journal,7471289,,,,
21100865930,Air and Space Law,9273379,18758339,,,
100147321,Air and Space Power Journal,8970823,,,0.142,0.425
57432,Air and water pollution,5683408,,,,
16079,Air Force Magazine,7306784,,0,0.1,
14200154743,Air Med,10796134,,,,
26994,Air Medical Journal,1067991X,15326497,0.36,0.26,0.359
23325,Air Pollution Consultant,10586628,,,,
14500154732,"Air Quality, Atmosphere and Health",18739318,18739326,2.66,0.862,1.249
21100446503,Air Repair,966665,,,,
19900192585,"Air, Soil and Water Research",11786221,,0.81,0.214,0.533
87779,Aircraft Design,13698869,,,,
12633,Aircraft Engineering and Aerospace Technology,17488842,,1.08,0.354,0.984
20273,Airline Business,2687615,,0.01,0.102,
71198,AISE Steel Technology,15285855,,,,
145306,AIST Today (International Edition),1346602X,,,0.1,0
21100228735,Aisthesis,5683939,7187181,0.04,0.106,0.176
21100846303,Aisthesis (Italy),,20358466,,,
21100398212,Ajalooline Ajakiri,14063859,22283897,0.1,0.101,0
21100316037,Ajatus,3551725,,0.03,0.111,0
21100324708,AJOB Empirical Bioethics,23294515,23294523,0.94,0.42,0.511
19700187604,AJOB Neuroscience,21507740,21507759,0.36,0.35,0.463
19800188057,AJOB Primary Research,21507716,21507724,,,
21100348516,AJP Reports,21576998,21577005,0.75,0.305,0.632
19900191623,AJS Review,3640094,14754541,0.19,0.128,0.988
21100853963,Akademik Acil Tip Olgu Sunumlari Dergisi,1309534X,21462925,,,0
37831,"Akademiya Nauk, Izvestiya, Tekhnicheskaya Kibernetika",10263497,,,,
19900193225,AKCE International Journal of Graphs and Combinatorics,9728600,,0.32,0.19,0.625
21100455209,Akkadica,13785087,7797842,0.1,0.155,0.319
12563,Akron law review,0002371X,,,,
19364,Aktuality v Nefrologii,1210955X,12133248,0.01,0.1,0.063
21100854847,Aktualni Gynekologie a Porodnictvi,,18039588,,,0
5100155058,Aktualnosci Neurologiczne,16419227,,,0.138,0.096
51531,Aktuelle Augenheilkunde,9425276,,,,
57241,Aktuelle Chirurgie,0001785X,,,,
24225,Aktuelle Dermatologie,3402541,,0.07,0.133,0.158
80536,Aktuelle Endokrinologie,9431837,,,,
96388,Aktuelle Endokrinologie und Stoffwechsel,1724606,,,,
29968,Aktuelle Ernahrungsmedizin Klinik und Praxis,3410501,14389916,0.25,0.136,0.268
91157,Aktuelle Gastrologie,3422836,,,,
94765,Aktuelle Gerontologie,3005704,,,,
17623,Aktuelle Neurologie,3024350,14389428,0.1,0.11,0.059
130133,"Aktuelle Neurologie, Supplement",14372754,,0.14,0.116,0.182
78033,Aktuelle Probleme in Chirurgie und Orthopadie,3788504,,,,
88881,Aktuelle Probleme in der Chirurgie,655589,,,,
97744,Aktuelle Radiologie,0939267X,,,,
19132,Aktuelle Rheumatologie,0341051X,14389940,0.08,0.114,0.089
71803,"Aktuelle Rheumatologie, Supplement",14337940,,,,
15203,Aktuelle Traumatologie,446173,,,,
94905,Aktuelle Urologie,17868,,0.12,0.129,0.242
74053,Akupunktur,3403130,,,,
55924,Akupunktur und Traditionelle Chinesische Medizin,16146891,,,,
30069,Akusherstvo i Ginekologiya,3240959,,0.12,0.117,
54360,Akusherstvo i Ginekologiya (Russian Federation),3009092,,0.24,0.116,0.056
12943,Akusticheskij Zhurnal,3207919,,,,
21100217222,Akustika,18019064,25708775,0.42,0.19,0.991
16300154783,Akzente,23957,,0,0.1,0
80794,Alabama medicine : journal of the Medical Association of the State of Alabama,7384947,,,,
100147344,Alaska Fishery Research Bulletin,10917306,,,,
21100844047,Alaska Journal of Anthropology,15449793,,,,
27014,Alaska medicine,24538,,,0.102,
20958,Alauda,24619,,0.15,0.221,0.489
20907,Albany law journal of science & technology,10594280,,,,
12622,Albany law review,24678,,0,0.104,
21100463090,AlBayan,22321950,22321969,0.03,0.101,0
29423,Alberta Journal of Educational Research,24805,,0.17,0.119,0.238
12643,Alberta law review,24821,,,,
95769,Alberta RN / Alberta Association of Registered Nurses,14819988,,0.01,0.104,
83668,Albion,951390,,,,
67239,Albrecht von Graefes Archiv für klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology,656100,,,,
6400153163,Albrecht Von Graefe's Archiv für Ophthalmologie,3760200,,,,
20751,Alcatel Telecommunications Review,12677167,,,,
13350,Alcheringa,3115518,,0.96,0.496,0.586
24785,Alcohol,7418329,,2.73,1.153,0.782
24786,Alcohol and Alcoholism,7350414,14643502,2.6,1.376,1.246
66654,"Alcohol and alcoholism (Oxford, Oxfordshire). Supplement",13586173,,,,
38848,Alcohol and Drug Research,8831386,,,,
33471,Alcohol health and research world,0090838X,,,,
21100244230,Alcohol research : current reviews,21683492,21694796,5.72,2.491,1.787
24788,Alcohol Research and Health,15357414,,,,
24789,Alcoholism,0002502X,,,0.107,0.023
21100778772,Alcoholism and Psychiatry Research,18498582,18491251,0.19,0.105,0.503
25225,Alcoholism Treatment Quarterly,7347324,15444538,0.7,0.291,0.473
24791,Alcoholism: Clinical and Experimental Research,1456008,15300277,2.9,1.449,0.967
25226,Alcologia,3949826,,,,
25781,Aldrichimica Acta,25100,,1.68,1.844,0.671
21100231200,Alea,19800436,,0.53,0.934,0.565
12100157116,Alea,1517106X,,0.01,0.1,0
19700181208,Aleph,15651525,15533956,0.3,0.111,1.526
20158,Alergia Astma Immunologia,14273101,,0.05,0.108,0.032
20159,Alergie,12123536,,,0.104,0.077
20166,Alergologia e Inmunologia Clinica,1575734X,15758435,,,
21100854165,Alergologia Polska - Polish Journal of Allergology,23533854,,,,0
21100244807,Algae,12262617,20930860,1.88,0.595,0.774
21100201089,Algal Research,22119264,,4.43,1.142,1.171
21100206241,Algebra and Discrete Mathematics,17263255,2415721X,0.31,0.241,0.717
144635,Algebra and Logic,25232,,0.49,0.531,1.027
19700175257,Algebra and Number Theory,19370652,,1.06,2.345,1.333
24616,Algebra Colloquium,10053867,,0.45,0.52,0.921
24618,Algebra Universalis,25240,14208911,0.63,0.583,1.046
19500157492,Algebraic and Geometric Topology,14722747,14722739,0.7,1.427,0.996
21100857408,Algebraic Geometry,23131691,22142584,,,
24620,Algebras and Representation Theory,1386923X,15729079,0.72,1.095,1.109
21100396507,Algorithmic Finance,21585571,21576203,0.52,0.228,0.404
23087,Algorithmica,1784617,14320541,1.27,0.56,1.354
21100199795,Algorithms,19994893,,1.03,0.217,0.749
5800179604,Algorithms for Molecular Biology,17487188,,1.92,1.333,0.813
27822,Alimentary Pharmacology and Therapeutics,2692813,,4.01,3.917,2.148
145689,Alimentary Pharmacology and Therapeutics Symposium Series,17466334,,,,
27823,"Alimentary Pharmacology and Therapeutics, Supplement",9530673,,,,
16681,Aliso,656275,,,,
21100322122,Al-Jami'ah,0126012X,2338557X,0.23,0.124,0.593
19700180810,Alkaloids: Chemical and Biological Perspectives,7358210,,,,
25783,Alkaloids: Chemistry and Biology,10994831,,2.5,1.527,1.428
19700180592,Alkaloids: Chemistry and Pharmacology,999598,,,,
21100797236,All Azimuth,21467757,,0.33,0.135,0.589
16682,Allelopathy Journal,9714693,,0.6,0.216,0.346
20172,Allergie et Immunologie,3979148,,,,
76141,Allergie und Asthma,3758443,,,,
77469,Allergie und Immunologie,3234398,,,,
20175,Allergo Journal,9418849,,0.3,0.234,0.543
21100854121,Allergo Journal International,,21970378,,,
20179,Allergologia et Immunopathologia,3010546,15781267,1.24,0.504,0.791
20181,Allergologie,3445062,,0.11,0.136,0.105
20184,Allergology International,13238930,14401592,2.33,1.148,1.287
20190,Allergy and Asthma Proceedings,10885412,15396304,1.72,0.811,0.745
93788,Allergy and Clinical Immunology International,8381925,,,,
35611,Allergy Proceedings,10469354,,,,
4800153203,"Allergy, Asthma and Clinical Immunology",17101484,17101492,2.09,0.732,0.87
19700174631,"Allergy, Asthma and Immunology Research",20927355,20927363,3.21,1.239,1.566
20185,Allergy: European Journal of Allergy and Clinical Immunology,1054538,13989995,6.23,2.702,2.332
20644,"Allergy: European Journal of Allergy and Clinical Immunology, Supplement",1081675,,,,
25553,Allgemeine Forst- und Jagdzeitung,25852,,0.61,0.258,0.474
14662,Allgemeine Papier-Rundschau: APR,25917,,,,
21100239828,Allgemeine Zeitschrift fur Philosophie,3407969,,0,0.1,0
59807,Allgemeiner Vliesstoff-Report,,,,,
13627,Allgemeines Statistisches Archiv,26018,,,,
79872,Allgemeinmedizin,2573199,,,,
95709,Allgemeinmedizin International,3010473,,,,
19700201538,Al-Masaq: Islam and the Medieval Mediterranean,9503110,1473348X,0.29,0.112,0.762
19400158182,al-Mihan al-tibbiyah,210927,,,,
80779,Alpacas Australia,13288318,,,0.103,0
19606,Alpe Adria Microbiology Journal,11219750,,,,
15600154702,Alpha,7164254,7182201,0.13,0.138,0.706
21100372826,Alpine and Mediterranean Quaternary,22797327,22797335,1.1,0.76,0.51
19700186870,Alpine Botany,16642201,,2.73,1.11,1.306
22229,Al-Qantara,2113589,,0.23,0.128,0.997
21100218383,Al-Shajarah,13946870,,0.08,0.103,0.087
66166,Alsthom review Paris,9947590,,,,
40401,Alta Frequenza,26557,,,,
24118,Alta Frequenza Rivista Di Elettronica,11201908,,,,
21100322901,Altalanos Nyelveszeti Tanulmanyok,5691338,,,0.101,0
11700154364,Alter,18750672,,0.58,0.201,0.51
21100795655,AlterNative,11771801,11741740,0.44,0.194,0.553
92944,Alternative and Complementary Therapies,10762809,,0.06,0.114,0.066
5800207516,Alternative Higher Education,3616851,,,,
5700153945,Alternative Law Journal,1037969X,,0.23,0.176,0.384
76593,Alternative Lifestyles,0161570X,15733475,,,
5800207501,Alternative Medicine,10814000,,,,
19700177349,Alternative Medicine Alert,1096942X,,,,
39279,Alternative Medicine Review,10895159,,,,
38581,Alternative Therapies in Health and Medicine,10786791,,0.88,0.352,0.535
5100155046,Alternative Therapies in Womens Health,15223396,,,,
26623,Alternatives,3043754,,0.64,0.351,0.362
22699,Alternatives Journal,12057398,,,,
26767,Altex,1868596X,18688551,3.47,1.001,1.167
19900191717,ALT-J: Research in Learning Technology,9687769,17411629,,,
21100203915,Altorientalische Forschungen,2328461,,0.17,0.13,0.372
21100450247,Altre Modernita,20357680,,0.01,0.1,0
28617,Aluminium International Today,1475455X,,,,
92127,Aluminium Today,9558209,,,,
9500154023,Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association),0069634X,,,,
27609,Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association),8984093,,,,
24122,Alytes,7534973,,0.47,0.229,0.1
17639,Alzheimer Disease and Associated Disorders,8930341,15464156,2.47,1.157,0.941
64704,Alzheimer Insights,13608495,,,,
3600148102,Alzheimer's and Dementia,15525260,15525279,9.78,4.66,2.647
21100403234,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",,23528729,3.92,1.796,1.347
21100415705,Alzheimer's and Dementia: Translational Research and Clinical Interventions,,23528737,2.85,1.108,0.997
4700152282,Alzheimer's Care Quarterly,15253279,,,,
7900153119,Alzheimer's Care Today,19363001,19366760,,,
20600195614,Alzheimer's Disease Research Journal,19352514,,,,
17642,Alzheimer's Reports,14616130,,,,
66910,Alzheimer's Research,1356918X,,,,
19700174935,Alzheimer's Research and Therapy,17589193,,5.93,2.449,1.511
95325,Am City,27936,,,,
21100390417,AMA journal of ethics,23766980,,0.54,0.255,
65672,"AMA, Agricultural Mechanization in Asia, Africa and Latin America",845841,,0.18,0.18,0.295
21100864394,Amaltea,,19891709,,,
12590,Amazoniana,656755,,,,
21100198481,AMB Express,21910855,,2.16,0.574,0.799
98654,AMB; revista da Associacao Medica Brasileira,0102843X,,,,
5600155441,Ambiente & Sociedade,1414753X,,0.45,0.235,0.473
22704,Ambio,447447,,4.03,1.569,1.611
22677,Ambix,26980,,0.38,0.187,0.691
84273,Ambulatory Child Health,13555626,,,,
27024,Ambulatory outreach,10946829,,,,
14444,Ambulatory Pediatrics,15301567,,,,
20434,Ambulatory Surgery,9666532,,0.12,0.115,0.059
13352,Ameghiniana,27014,,1.14,0.601,0.701
16923,Amerasia Journal,447471,,0.08,0.107,0.102
16409,America,27049,19433697,,,
21100228046,America Latina en la Historia Economica,14052253,,0.14,0.134,0.246
19700169837,America Latina Hoy,11302887,,0.19,0.132,0.303
21100228548,American and British Studies Annual,18036058,,0.05,0.1,0.315
14564,American Annals of the Deaf,0002726X,15430375,0.68,0.29,0.686
32845,American Anthropologist,27294,3649873,1.07,0.831,1.485
40554,American Antiquity,27316,,1.95,1.176,1.105
12085,American Archivist,3609081,,0.6,0.488,1.733
6000152720,American Art,10739300,15496503,0.13,0.139,0.212
68640,American Association of Industrial Nurses journal,986097,,,,
12669,American Bankruptcy Law Journal,279048,,0.38,0.481,0.924
15760,American Bee Journal,27626,,0.01,0.159,0.055
24733,American Behavioral Scientist,27642,,2.04,0.982,1.178
12597,American Biology Teacher,27685,,0.22,0.253,0.321
14942,American Biotechnology Laboratory,7493223,,,,
21100220384,American Book Review,1499408,,0.07,0.101,
24681,American Business Law Journal,27766,,0.47,0.379,0.599
35682,American Cartographer,941689,,,,
21100235602,American Catholic Philosophical Quarterly,10513558,21538441,0.16,0.116,0.75
25784,"American Chemical Society, Division of Petroleum Chemistry, Preprints",5693799,,,,
20277,American City and County,0149337X,,0,0.1,0
26768,American clinical laboratory,10413235,,,,
57640,American College of Physicians observer,2799529,,,,
16924,American Communication Journal,15325865,,0.29,0.136,0.354
5800170732,American Communist History,14743892,14743906,0.02,0.101,0.24
55519,American Corrective Therapy Journal,28088,,,,
22720,American Criminal Law Review,1640364,,,0.261,0.703
25768,American Demographics,1634089,,,,
74999,American Druggist,1905279,,,,
30407,American Dyestuff Reporter,28266,,,,
19900191767,American Economic Journal: Applied Economics,19457782,19457790,4.97,9.039,3.799
19900191884,American Economic Journal: Economic Policy,19457731,1945774X,4.68,9.149,3.718
19900191885,American Economic Journal: Macroeconomics,19457707,19457715,3.38,10.441,2.915
19900191883,American Economic Journal: Microeconomics,19457669,19457685,1.6,4.723,1.812
22697,American Economic Review,28282,,5.17,12.047,4.642
29432,American Educational Research Journal,28312,,3.48,2.913,2.602
21100863705,American Entomologist,10462821,21559902,,,
78019,American Ethnologist,940496,,2.63,1.96,3.14
27043,American Family Physician,0002838X,15320650,0.64,0.429,0.988
84747,American family physician/GP,5723612,,,,
16694,American Fern Journal,28444,,0.74,0.35,0.438
5800169156,American Foreign Policy Interests,10803920,15332128,,0.288,0.956
25555,American Forests,28541,,0,0.1,
15187,American Gas,10430652,,,,
36040,American Gas Association monthly,28584,,,,
19700175100,American Health and Drug Benefits,19422962,,1.06,0.701,0.774
22414,American Heart Journal,28703,10976744,4.05,3.267,1.499
23722,American Heritage,28738,,,,
15444,American heritage of invention & technology,87567296,,,,
13351,American Historical Review,28762,,0.97,0.467,2.278
17500155008,American History,10768866,,0,0.1,
98197,American History Illustrated,28770,,,,
17658,American Imago,0065860X,10857931,0.11,0.121,0.259
30408,American Indian and Alaska Native Mental Health Research,8935394,,0.57,0.214,0.433
26596,American Indian Culture and Research Journal,1616463,,0.17,0.115,0.305
26606,American Indian quarterly,0095182X,15341828,,,
30764,American Industrial Hygiene Association Journal,28894,,,,
19400157837,American Industrial Hygiene Association quarterly,0096820X,,,,
110319,American Ink Maker,28916,,,,
52570,American Intra-Ocular Implant Society Journal,1462776,,,,
14197,American Jewish history,1640178,10863141,0.13,0.118,0.839
87639,American Journal of Acupuncture,913960,,,,
8300153132,American Journal of Agricultural and Biological Science,15574989,,,0.265,1.367
69623,American Journal of Agricultural Economics,29092,,2.67,2.113,1.704
70361,American Journal of Alternative Agriculture,8891893,14785498,,,
62887,American Journal of Alzheimer's Disease,10825207,,,,
28533,American Journal of Alzheimer's Disease and other Dementias,15333175,,1.73,0.67,0.766
38683,American Journal of Anatomy,29106,,,,
31442,American Journal of Anesthesiology,10784500,,,,
6500153244,American Journal of Animal and Veterinary Sciences,15574555,15574563,0.47,0.182,0.351
6400153122,American Journal of Applied Sciences,15469239,15543641,,0.127,1.144
16200154714,American Journal of Archaeology,29114,,0.8,0.521,1.406
32874,American Journal of Art Therapy,74764,,,,
14565,American Journal of Audiology,10590889,,1.31,0.703,0.716
5400152618,American Journal of Biochemistry and Biotechnology,15533468,15586332,0.42,0.172,0.34
19700188317,American Journal of Biochemistry and Molecular Biology,21504210,21504253,,0.113,0.401
21676,American Journal of Bioethics,15265161,15360075,0.58,0.65,0.895
21100332422,American Journal of Blood Research,,21601992,1.12,0.347,1.578
16703,American Journal of Botany,29122,15372197,2.87,1.499,1.244
79525,American Journal of Cancer,11756357,,,,
21100874238,American Journal of Cancer,997374,15387445,,,
21100399172,American Journal of Cancer Research,,21566976,,1.411,0.912
37961,American Journal of Cardiac Imaging,8877971,,,,
22415,American Journal of Cardiology,29149,,3.05,1.93,1.188
21100337504,American Journal of Cardiovascular Disease,,2160200X,2.24,0.802,0.617
22416,American Journal of Cardiovascular Drugs,11753277,,2.54,0.951,0.89
19700182306,American Journal of Case Reports,19415923,,0.94,0.295,0.809
18134,American Journal of Chinese Medicine,0192415X,,3.05,0.909,0.941
5800169164,American Journal of Chinese Studies,7425929,,,,
21100854188,American Journal of Clinical and Experimental Immunology,,21647712,,,0.998
24246,American Journal of Clinical Dermatology,11750561,,3.31,1.542,1.835
26094,American Journal of Clinical Hypnosis,29157,,0.98,0.462,0.808
29990,American Journal of Clinical Nutrition,29165,,5.62,3.438,2.191
28705,American Journal of Clinical Oncology,2773732,,2.27,0.973,0.978
27045,American Journal of Clinical Pathology,29173,,2.14,1.002,1.018
16925,American Journal of Community Psychology,910562,15732770,2.47,1.329,1.457
25049,American Journal of Comparative Law,0002919X,,0.62,0.298,0.83
36826,American Journal of Contact Dermatitis,1046199X,,,,
5600152957,American Journal of Criminal Justice,10662316,19361351,1.08,0.772,0.813
27098,American Journal of Critical Care,10623264,,1.63,0.778,1.197
21100385960,American Journal of Cultural Sociology,20497121,,0.86,0.46,1.047
24027,American Journal of Dance Therapy,1463721,15733262,0.44,0.181,0.243
23805,American Journal of Dentistry,8948275,,1.07,0.509,0.657
27047,American Journal of Dermatopathology,1931091,15330311,1.12,0.6,0.96
67890,American Journal of Diagnostic Gynecology and Obstetrics,1931105,,,,
38242,American Journal of Digestive Diseases,29211,,,,
19700185100,American Journal of Digestive Diseases and Nutrition,925640,,,,
11100153303,American journal of disaster medicine,1932149X,,0.57,0.248,
35652,American Journal of Diseases of Children,0002922X,,,,
19700200806,American Journal of Distance Education,8923647,15389286,0.84,0.714,1.089
25229,American Journal of Drug and Alcohol Abuse,952990,10979891,1.86,0.89,0.662
19441,American Journal of Drug Delivery,11759038,,,,
19700188326,American Journal of Drug Discovery and Development,2150427X,21504296,,0.171,0.604
18299,American Journal of Economics and Sociology,29246,15367150,0.39,0.172,0.584
29434,American Journal of Education,1956744,15496511,1.72,1.005,1.446
61578,American Journal of EEG Technology,29238,,,,
17661,American Journal of Electroneurodiagnostic Technology,1086508X,,,,
15207,American Journal of Emergency Medicine,7356757,15328171,0.99,0.604,0.677
21100437958,American Journal of Engineering and Applied Sciences,19417020,19417039,,0.131,0.693
27004,American Journal of Enology and Viticulture,29254,,1.9,0.956,1.244
5400152617,American Journal of Environmental Sciences,1553345X,,,0.217,0.623
27058,American Journal of Epidemiology,29262,14766256,3.49,2.713,1.611
24734,American Journal of Evaluation,10982140,,1.62,0.646,1.75
5700165154,American Journal of Food Technology,15574571,1557458X,,0.176,0.348
27713,American Journal of Forensic Medicine and Pathology,1957910,1533404X,0.85,0.363,0.655
27714,American Journal of Forensic Psychiatry,1631942,,,,
29469,American Journal of Forensic Psychology,7331290,,0.22,0.186,0.39
27825,American Journal of Gastroenterology,29270,15720241,4.52,4.197,2.892
22419,American Journal of Geriatric Cardiology,10767460,,,,
75223,American Journal of Geriatric Pharmacotherapy,15435946,,,,
